model,sample_id,shape,object_level,bg_level,cue_level,event_template,label,label_role,raw_text,predicted_regime,hand_regime
qwen,bird_textured_blank_both_horizontal_004,bird,textured,blank,both,horizontal,silhouette,abstract,The silhouette is likely to move towards the direction indicated by the red arrow.,kinetic,kinetic
qwen,bird_shaded_ground_none_horizontal_002,bird,shaded,ground,none,horizontal,silhouette,abstract,The silhouette appears to be in mid-flight and will likely continue to move horizontally across the screen.,kinetic,kinetic
qwen,bird_filled_blank_both_horizontal_001,bird,filled,blank,both,horizontal,silhouette,abstract,The silhouette is likely to move forward as indicated by the red arrow.,kinetic,kinetic
qwen,bird_shaded_ground_both_fall_004,bird,shaded,ground,both,fall,duck,exotic,The duck will land on the surface below it.,kinetic,kinetic
qwen,bird_textured_ground_both_fall_000,bird,textured,ground,both,fall,duck,exotic,The duck will land on the water as indicated by the downward arrow.,kinetic,kinetic
qwen,bird_filled_ground_both_fall_001,bird,filled,ground,both,fall,duck,exotic,"The duck will fall towards the gray oval, likely landing on it.",kinetic,kinetic
llava,car_line_blank_none_fall_001,car,line,blank,none,fall,car,physical,The car will move forward.,kinetic,kinetic
llava,car_filled_blank_none_fall_000,car,filled,blank,none,fall,car,physical,"The car will move away from the camera, as it is currently off-screen.",kinetic,kinetic
llava,car_shaded_ground_none_horizontal_003,car,shaded,ground,none,horizontal,car,physical,The car will drive forward.,kinetic,kinetic
llava,car_shaded_blank_none_horizontal_002,car,shaded,blank,none,horizontal,silhouette,abstract,"The image shows a silhouette. In the next moment, the silhouette will become more prominent, as the photo will brighten to reveal the details of the object.",ambiguous,ambiguous
llava,car_filled_ground_both_fall_001,car,filled,ground,both,fall,silhouette,abstract,"In the next moment, a truck will appear.",ambiguous,ambiguous
llava,car_line_ground_both_horizontal_004,car,line,ground,both,horizontal,silhouette,abstract,The silhouette will move towards the viewer.,kinetic,kinetic
llava,car_filled_blank_both_horizontal_000,car,filled,blank,both,horizontal,figurine,exotic,The figurine is going to fall.,kinetic,kinetic
llava,car_shaded_blank_none_horizontal_001,car,shaded,blank,none,horizontal,figurine,exotic,The toy car will drive away from the toy train.,kinetic,kinetic
llava,car_line_ground_none_horizontal_001,car,line,ground,none,horizontal,figurine,exotic,A small truck will pass by the figurine.,ambiguous,ambiguous
llava,person_line_ground_none_fall_003,person,line,ground,none,fall,person,physical,The person will be shot and fall down.,kinetic,kinetic
llava,person_shaded_blank_both_horizontal_002,person,shaded,blank,both,horizontal,person,physical,The person will be shown walking in the direction of the red arrow.,kinetic,kinetic
llava,person_line_ground_none_fall_004,person,line,ground,none,fall,person,physical,The person will fall.,kinetic,kinetic
llava,person_shaded_blank_both_fall_001,person,shaded,blank,both,fall,stick figure,abstract,The stick figure will get hit by the ball.,kinetic,kinetic
llava,person_shaded_blank_none_horizontal_003,person,shaded,blank,none,horizontal,stick figure,abstract,The stick figure will be removed from the image.,ambiguous,ambiguous
llava,person_textured_ground_both_fall_004,person,textured,ground,both,fall,stick figure,abstract,The stick figure's shadow will appear on the ground.,ambiguous,ambiguous
llava,person_filled_ground_none_horizontal_002,person,filled,ground,none,horizontal,statue,exotic,The statue will fall over in the next moment.,kinetic,kinetic
llava,person_line_blank_both_fall_001,person,line,blank,both,fall,statue,exotic,The statue will fall in the next moment.,kinetic,kinetic
llava,person_shaded_ground_both_horizontal_002,person,shaded,ground,both,horizontal,statue,exotic,The statue will be pulled away from the line.,ambiguous,kinetic
llava,bird_textured_blank_both_horizontal_002,bird,textured,blank,both,horizontal,bird,physical,The bird will fly away as the red arrow points to the right.,kinetic,kinetic
llava,bird_line_ground_both_fall_001,bird,line,ground,both,fall,bird,physical,The bird will fly away.,kinetic,kinetic
llava,bird_shaded_blank_both_horizontal_001,bird,shaded,blank,both,horizontal,bird,physical,The bird will fly.,kinetic,kinetic
llava,bird_line_ground_none_fall_000,bird,line,ground,none,fall,silhouette,abstract,The silhouette will vanish in the next moment.,ambiguous,ambiguous
llava,bird_textured_ground_none_fall_001,bird,textured,ground,none,fall,silhouette,abstract,The bird will fly away and the silhouette will change.,kinetic,kinetic
llava,bird_filled_ground_both_horizontal_000,bird,filled,ground,both,horizontal,silhouette,abstract,The silhouette will hit the ground in the next moment.,kinetic,kinetic
llava,bird_textured_ground_both_horizontal_003,bird,textured,ground,both,horizontal,duck,exotic,The duck will be seen flying across the top of the image.,kinetic,kinetic
llava,bird_shaded_blank_both_fall_002,bird,shaded,blank,both,fall,duck,exotic,The duck will fly away from the circle.,kinetic,kinetic
llava,bird_textured_ground_none_horizontal_002,bird,textured,ground,none,horizontal,duck,exotic,The duck is looking to its left.,ambiguous,ambiguous
